ACCE_ABSORB_CHANCE	Absorption rate: %d%%
CANNOT_SKILL_NOT_YET_LEARN	I have not learned this skill.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	This only affects group members.
CANNOT_SKILL_ONLY_FOR_CORPSE	This only affects dead people.
CANNOT_SKILL_REMOVE_FISHING_ROD	I cannot use this skill with a Fishing Pole.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.
CANNOT_SKILL_USE_SELF	I cannot use this on myself.
CANNOT_SKILL_WAIT_COOLTIME	I cannot use this skill yet.
CANNOT_USE	You cannot use this.
CANNOT_WHISPER_DEST_REFUSE	%s has blocked whispering.	SA
CANNOT_WHISPER_NOT_LOGON	%s is not online.	SA
CANNOT_WHISPER_SELF_REFUSE	You cannot whisper something to someone when you have completely blocked whispering.	SNA
CHANGE_ALREADY_REGISTER	[Transmutation] This item has already been submitted.
CHANGE_LOOK_CHANGE_ITEM	Do you want to transmute this item?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutation] Please first remove the item which you want to transmute.
CHANGE_LOOK_COST	Cost of transmutation: %s Yang
CHANGE_LOOK_DEL_ITEM	The absorbed item will be deleted.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutation] This item cannot be transmuted.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutation] You cannot transmute an item while it is equipped.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutation] You cannot submit this item.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutation] The item is soulbound.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutation] Please submit the item you want to transmute.
CHANGE_LOOK_INSERT_ITEM	[Transmutation] You must submit the item first.
CHANGE_LOOK_NEED_MONEY	You either have insufficient Yang or insufficient items.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutation] This action is not possible while the Transmutation window is open.
CHANGE_LOOK_TITLE	Transmutation
CHANGE_LOOK_TITLE2	Mount Transformation
CHANGE_TOOLTIP2_LINE1	Add the target item on the left and the material on the right.
CHANGE_TOOLTIP2_LINE2	Click the tick to use Yang or a Transformation Token and alter your mount's appearance.
CHANGE_TOOLTIP2_LINE3	Using a Transformation Token changes the appearance of your mount without costing any Yang (this consumes the token).
CHANGE_TOOLTIP2_LINE4	If changing the appearance of a mount with a duration, the mount's duration remains unchanged.
CHANGE_TOOLTIP2_LINE5	If the target mount is permanent and the material mount has a duration, the mount will maintain the changed appearance for the duration of the material mount.
CHANGE_TOOLTIP_LINE1	Place the item you want to transmute on the left.
CHANGE_TOOLTIP_LINE2	Place the other item on the right.
CHANGE_TOOLTIP_LINE3	The appearance of the item on the left will change
CHANGE_TOOLTIP_LINE4	once you confirm the transmutation (V) and pay the Yang.
CHANGE_TOOLTIP_LINE5	Using this item allows you
CHANGE_TOOLTIP_LINE6	to transmute your item without spending Yang.
CHANGE_TOOLTIP_TITLE	Transmutation
CHANNEL	Channel
CHANNEL_EMPTY_SERVER	No server
CHANNEL_NORMAL	Channel %d
CHANNEL_NOTIFY_FULL	This channel is full! Please choose another one.
CHANNEL_NOT_FIND_INFO	No information found via the Channel.
CHANNEL_PVP	Free duel
CHANNEL_SELECT_CHANNEL	Choose the channel
CHANNEL_SELECT_REGION	Choose region.
CHANNEL_SELECT_SERVER	Choose server
CHANNEL_STATUS_BUSY	Busy
CHANNEL_STATUS_FULL	Full
CHANNEL_STATUS_OFFLINE	Unknown
CHANNEL_STATUS_RECOMMENDED	Recommended
CHANNEL_STATUS_VACANT	Low
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHAT_ALL	All
CHAT_BLOCK	Block
CHAT_DICE_INFO	Dice
CHAT_GUILD	Guild
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	This sentence has invalid words in it.
CHAT_LOG	Show old messages [L]
CHAT_LOG_TITLE	Chat-log
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_OPEN_LINK_DANGER	Warning: This link can contain a virus!
CHAT_OPEN_LINK	Do you want to open this link?
CHAT_PARTY	Group
CHAT_SEND_CHAT	Send chat
CHAT_SEND_MEMO	Send whisper [Shift+Enter]
CHAT_SHOUT	Call
CHAT_SHOUT_LIMIT	You can only call every 15 seconds.
CHAT_WHISPER	Whispering
CREATE_ERROR_GM_NAME	You are not allowed to use 'GM' in your character name.
CREATE_ERROR_INSULT_NAME	This name is invalid.
CREATE_ERROR_LIMIT_LEVEL	Your character must be at least level 80.
CREATE_ERROR_TIME_LIMIT	You can only create one character every 30 seconds.
CREATE_ERROR_WRONG_STRING	This character name is invalid.
CREATE_EXIST_SAME_NAME	Another character already has this name.
CREATE_FAILURE	You cannot create the character
CREATE_FULL	You cannot create any more characters.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Enter the name.
CREATE_PLUS_STAT	There are still status points available.
CUBE_CATEGORY_ARMOR	Armors
CUBE_CATEGORY_ETC	Jewellery
CUBE_CATEGORY_NINJA	Ninja
CUBE_CATEGORY_SHAMAN	Shaman
CUBE_CATEGORY_SURA	Sura
CUBE_CATEGORY_OTHERS	Others
CUBE_CATEGORY_WARRIOR	Warrior
CUBE_CATEGORY_WEAPON	Weapons
CUBE_COPY_ATTR_INFO	To transfer bonuses, move the item to the first slot.
DAY	Days
DEFENSAWE_HYDRA	Ship Defence
DESTROY_ITEM_QUESTION	Are you sure you want to destroy?
DO_YOU_BUY_ITEM1	Do you want to buy %s for %s ?
DO_YOU_BUY_ITEM2	Do you want to buy %s x%s for %s ?
DO_YOU_DROP_MONEY	Do you want to drop %d Yang?
DO_YOU_SELL_ITEM1	Do you want to sell %s for %s ?
DO_YOU_SELL_ITEM2	Do you want to sell %s x%s for %s ?
DROP_ITEM_FAILURE_EQUIP_ITEM	You cannot drop equipped items.
DROP_ITEM_FAILURE_PRIVATE_SHOP	You cannot drop any items as long as a private shop is open.
DROP_MONEY_FAILURE_1000_OVER	You can drop a maximum of 999 Yang.
DUNGEON_TIMER_FLOOR	Floor %d
DUNGEON_TIMER_WAVE	Wave %d
EMOJI_CHEST_VIEW	Show drop - |Eemoji/key_rclick|e
EMOJI_QUICK_ADD	Quick add - |Eemoji/key_ctrl|e + |Eemoji/key_rclick|e
EMOJI_RENDER_TARGET_MOVE	Move - |Eemoji/key_rclick|e
EMOJI_RENDER_TARGET_WHEEL	Zoom - |Eemoji/key_lclick_wheel|e
EMOJI_SHOP_BUY	Buy - |Eemoji/key_rclick|e
EMOJI_SHOP_SELL	Sell - |Eemoji/key_ctrl|e + |Eemoji/key_rclick|e
EMOTION_ANGRY	Aggravating
EMOTION_ATTRACTIVE	Seduction
EMOTION_BANTER	Sneering
EMOTION_CHEERS_1	Cheers 1
EMOTION_CHEERS_2	Cheers 2
EMOTION_CHEERUP	Cheer
EMOTION_CHOOSE_ONE	Choose a target.
EMOTION_CLAP	Claps
EMOTION_CLAP_KISS	Kiss
EMOTION_CONGRATULATION	Approval
EMOTION_DANCE_1	Dance 1
EMOTION_DANCE_2	Dance 2
EMOTION_DANCE_3	Dance 3
EMOTION_DANCE_4	Dance 4
EMOTION_DANCE_5	Dance 5
EMOTION_DANCE_6	Dance 6
EMOTION_DANCE_7	Dance 7
EMOTION_SELFIE	Selfie
EMOTION_PUSHUP	Push Ups
EMOTION_EXERCISE	Warm Up
EMOTION_DOZE	Doze Off
EMOTION_FORGIVE	Forgiveness
EMOTION_FRENCH_KISS	French Kiss
EMOTION_JOY	Joy
EMOTION_SAD	Sad
EMOTION_SHY	Rejection
EMOTION_SLAP	Hit
EMOTION_EMOTION_1	Worship
EMOTION_EMOTION_2	Backflip
EMOTION_EMOTION_3	BreakDance
EMOTION_EMOTION_4	Dance 8
EMOTION_EMOTION_5	Dab
EMOTION_EMOTION_6	Facepalm
EMOTION_EMOTION_7	Fuck off
EMOTION_EMOTION_8	Wank/fingering
EMOTION_EMOTION_9	Shake it
EMOTION_EMOTION_10	Throw the money
EMOTION_EMOTION_11	Street Dance
EMOTION_EMOTION_12	Twerk
EMPIRE_A	Shinsoo Kingdom
EMPIRE_B	Chunjo Kingdom
EMPIRE_C	Jinno Kingdom
EVENT_MANAGER_DURATION	Start: %s ~ End: %s
EVENT_MANAGER_DROP_TYPE	Drop-Type: %s
EVENT_MANAGER_DROP_TYPE_NONE	None
EVENT_MANAGER_DROP_TYPE_GENERAL	All mobs
EVENT_MANAGER_DROP_TYPE_BOSS_AND_MORE	Metinstone & Bosses
EVENT_MANAGER_DROP_TYPE_BOSS	Bosses
EVENT_MANAGER_DROP_TYPE_STONE	Metinstone
EXCHANGE_ALERT	Are you sure you want to exchange items for free?
EXCHANGE_CANNOT_GIVE	This item cannot be traded.
EXCHANGE_CANT_EDIT_MONEY	You cannot change the sum now.
EXCHANGE_FAILURE_EQUIP_ITEM	You cannot exchange equipped Items.
EXCHANGE_MONEY	Sum
EXCHANGE_OWNER_ACCEPT	%s You accepted the deal.
EXCHANGE_OWNER_ADD	%s You added [%s]
EXCHANGE_OWNER_ADD_ATT	%s You added |cffffc700|H|h[%s]|h|r
EXCHANGE_OWNER_ADD_COUNT	%s You added %sx [%s]
EXCHANGE_OWNER_ADD_COUNT_ATT	%s You added %sx |cffffc700|H|h[%s]|h|r
EXCHANGE_OWNER_YANG	%s You raised the amount of Yang to |cffb8ff00|H|h%s|h|r
EXCHANGE_START	%s Trade has begun.
EXCHANGE_TARGET_ADD	%s %s added [%s]
EXCHANGE_TARGET_ADD_ATT	%s %s added |cffffc700|H|h[%s]|h|r
EXCHANGE_TARGET_ADD_COUNT	%s %s added %sx [%s]
EXCHANGE_TARGET_ADD_COUNT_ATT	%s %s added %sx |cffffc700|H|h[%s]|h|r
EXCHANGE_TARGET_ACCEPT	%s %s accepted the deal.
EXCHANGE_TARGET_YANG	%s %s raised the amount of Yang to |cffb8ff00|H|h%s|h|r
EXCHANGE_TITLE	Trade with %s
EXCHANGE_TITLE_LEVEL	Trade with %s (%d)
EXTENDED_BATTLE_PASS_ITS_NOT_BATTLEPASS_ITEM	You need a ticket for Premium Battle-Pass.
EXTENDED_BATTLE_PASS_RANKLIST_REFRESH	The ranking list has been updated.
EXTENDED_BATTLE_PASS_RANKLIST_WAIT_TO_REFRESH	You still have to wait %d seconds to update the ranking again.
FISHGAME_TITLE	Fish
FISHING_FAILURE	You lost the bait.
FISHING_NOTIFY1	It looks like %s is hooked.
FISHING_NOTIFY2	It looks like %s is on the hook.
FISHING_SUCCESS1	You captured %s!
FISHING_SUCCESS2	You have pulled %s out of the water!
FISHING_UNKNOWN	Something has taken the bait but you can't see what it is.
FISHING_WRONG_PLACE	You cannot go fishing here.
FOR_FEMALE	For female
FOR_MALE	For male
GAME_CANNOT_MINING	You cannot mine Ore while riding.
GAME_CANNOT_PICK_ITEM	You cannot collect this Item as you did not win it.
GAME_INIT_ERROR_CURSOR	The cursor could not be established.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 must be installed so that the game can run.\nInstall DirectX 8.1 or higher.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	No graphic device could be found. \nCheck if your VGA card is correctly installed.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Graphic device could not be established. \nCheck if you have a VGA card. \nAlternatively, you can active the hardware accelerator.\n(Set hardware accelerator to max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	The graphics card of the computer does not support the window mode in 32bit Mode. \nChange to 16bit Mode or use Full Screen Mode.
GAME_INIT_ERROR_ITEM_PROTO	No Item data there.\nInstall the game again.
GAME_INIT_ERROR_MAIN_WINDOW	Mainframe could not be established
GAME_INIT_ERROR_MOB_PROTO	No Monster Data there.\nInstall the game again.
GAME_INIT_ERROR_NETWORK	Network devices could not be established.\nCheck your internet connection.
GAME_PICK_MONEY	You have received %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Height is not 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Height is not 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Width is not 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Width is not 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	The game does not support this picture.
GUILDMARK_UPLOADER_ERROR_PATH	Move the data into the folder Metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	No picture file chosen.
GUILDWAR_CTF_TITLE	Capture the flag
GUILDWAR_NORMAL_TITLE	Field Battle
GUILDWAR_QUESTION_LINE_1	The Guild %s  declared war on your guild.
GUILDWAR_QUESTION_LINE_2	Do you accept? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena battle
GUILD_BUILDING_GRADE	Rank
GUILD_BUILDING_NAME	Name of building
GUILD_CANNOT_HEAL_GSP_ANYMORE	The Dragon Ghost Energy is already fully restored.
GUILD_COMMENT	Write
GUILD_DEFAULT_GRADE	Guild members
GUILD_DELETE	Delete
GUILD_DEPOSIT	Deposit
GUILD_DO_YOU_HEAL_GSP	Do you want to use %d Yang to restore %d units of Dragon Ghost?
GUILD_DO_YOU_JOIN	has invited you. Do you want to join the guild?
GUILD_EMPTY_AREA	Empty land
GUILD_ENEMY_GUILD_NAME	Guild name of the enemy
GUILD_FACILITY	Outbuilding
GUILD_GEM	Gem
GUILD_HEADQUARTER	Main Building
GUILD_HEAL_GSP	Restore Dragon ghost
GUILD_INFO_ENEMY_GUILD_EMPTY	None
GUILD_MARK_NOT_ENOUGH_LEVEL	Minimum level of 3 required
GUILD_NAME	Guild name
GUILD_NOT_ENOUGH_MATERIAL	Not enough building material for this building.
GUILD_NOT_ENOUGH_MONEY	Not enough Yang for this building.
GUILD_NO_NOTICE_PERMISSION	You do not have the rights to make an announcement.
GUILD_OBJECT	Objects
GUILD_OFFER_EXP	Invest experience
GUILD_SHORT_EXP	Not enough experience points.
GUILD_TILE_BASEINFO	Territory information
GUILD_TILE_BOARD	Guild messages
GUILD_TILE_GRADE	Rights administration
GUILD_TILE_INFO	Guild information
GUILD_TILE_MEMBER	Member
GUILD_TILE_SKILL	Guild skills
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR_LIMIT_30MIN	Time: 30 minutes
GUILD_WAR_REWARD_POTION	Reward: The winner receives a potion
GUILD_WAR_USE_BATTLE_MAP	Location: Guild war arena
GUILD_WAR_USE_NORMAL_MAP	Location: Normal map
GUILD_WAR_WIN_CHECK_SCORE	The highest result wins the war.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Capture the flag of your enemy
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	and carry it to your base.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Defeat all enemies to win.
GUILD_WITHDRAW	Fallback
GUILD_YOU_DO_NOT_JOIN	You are not a member of any guild.
HORSE_HEALTH0	Dead
HORSE_HEALTH1	Starving
HORSE_HEALTH2	Hungry
HORSE_HEALTH3	Full
HORSE_LEVEL1	Normal horse
HORSE_LEVEL2	Battle horse
HORSE_LEVEL3	Military horse
HOUR	Hours
HOW_MANY_ITEM_DO_YOU_DROP1	Do you want to drop %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Do you want to drop %s %d?
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Enter deletion-code from your account settings here.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Delete character
INVENTORY_REALLY_USE_ITEM	Use item on this item?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Do you really want to put your pet in the Transport Box?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Do you want to open a Transport Box?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Do you want to feed %s to %s?
ITEMSHOP_BUY_TEXT	Wanna buy |cffF7BD48%s|r ?
ITEMSHOP_BUY_TEXT_COUNT	Wanna buy |cffF7BD48%s x%d|r ?
ITEMSHOP_CATEGORY_0_NAME	Offers
ITEMSHOP_CATEGORY_0_SUB_0_NAME	Special packs
ITEMSHOP_CATEGORY_0_SUB_1_NAME	Special Offers
ITEMSHOP_CATEGORY_1_NAME	Special Objects
ITEMSHOP_CATEGORY_2_NAME	Cosmetics
ITEMSHOP_CATEGORY_2_SUB_0_NAME	Weapon skin
ITEMSHOP_CATEGORY_2_SUB_1_NAME	Armor skin
ITEMSHOP_CATEGORY_2_SUB_2_NAME	Hair skin
ITEMSHOP_CATEGORY_2_SUB_3_NAME	Pet skin
ITEMSHOP_CATEGORY_2_SUB_4_NAME	Mount skin
ITEMSHOP_CATEGORY_3_NAME	Companions
ITEMSHOP_CATEGORY_3_SUB_0_NAME	Mounts
ITEMSHOP_CATEGORY_3_SUB_1_NAME	Normal pets
ITEMSHOP_CATEGORY_3_SUB_2_NAME	Companions
ITEMSHOP_CATEGORY_4_NAME	Dungeons
ITEMSHOP_CATEGORY_5_NAME	Equipment
ITEMSHOP_DRAGONCOINT	Dragon Coins
ITEMSHOP_EXPIRED	Expired
ITEMSHOP_ITEMSEARCH_DEFAULT_TEXT	Search the itemshop ...
ITEMSHOP_LAST_COUNT	Remaining amount: %d
ITEMSHOP_MENU_TITLE_HOME	Home
ITEMSHOP_MENU_TITLE_HOTITEMS	|Eishop/hot|e Popular
ITEMSHOP_MENU_TITLE_OFFERS	|Eishop/offer|e Offers
ITEMSHOP_MENU_TITLE_WHEEL	|Eishop/wheel_icon|e Roulette
ITEMSHOP_PRICE_NEW	|Eishop/mini_coin|e %s DC
ITEMSHOP_PRICE_ONLY_TEXT	%s DC
ITEMSHOP_PRICE_WITH_DISCOUNT	|Eishop/mini_coin|e |cffFF7B7B%s DC (%d%%)
ITEMSHOP_PURCHASES	History
ITEMSHOP_PURCHASES_ACCOUNTID	ID account
ITEMSHOP_PURCHASES_DATE	Date
ITEMSHOP_PURCHASES_IP	IP
ITEMSHOP_PURCHASES_ITEMBOUGHT	Purchased object
ITEMSHOP_PURCHASES_PRICE	Price
ITEMSHOP_PURCHASES_PRICE_TEXT	|Eishop/mini_coin|e |cfff7bd48%s DC
ITEMSHOP_WHEEL_COIN_TEXT	|Eishop/coin|e  Price: 10 DC
ITEMSHOP_WHEEL_COIN_TEXT_INFO	You will use |cffF7BD48Coins|r to spin.
ITEMSHOP_WHEEL_PURCHASE	|Eishop/wheel_icon|e  |cffF7BD48Fortune roulette|r
ITEMSHOP_WHEEL_REWARD_TEXT	You have received from roulette
ITEMSHOP_WHEEL_REWARD_TITLE	Roulette reward
ITEMSHOP_WHEEL_SKIP_ANIMATION	Skip animation
ITEMSHOP_WHEEL_TICKET_TEXT	|Eishop/wheel_ticket|e x1 ticket
ITEMSHOP_WHEEL_TICKET_TEXT_INFO	Your are using |cffF7BD48Roulette ticket|r to spin.
ITEMSHOP_WINDOW_TITLE	Item shop
JOB_ASSASSIN	Ninja
JOB_SHAMAN	Shaman
JOB_SURA	Sura
JOB_WARRIOR	Warrior
LEFT_TIME	Time remaining
LOGIN_CLIENT_LOADING	Client is loading from cache ...
LOGIN_CONNECT_FAILURE	Error while connecting to the server.
LOGIN_CONNECT_SUCCESS	You have been connected to the server.
LOGIN_CONNETING	You are connecting to the server ...
LOGIN_FAILURE_ALREAY	Your account is already connected.
LOGIN_FAILURE_BE_SAME_KEY	Registration problem.
LOGIN_FAILURE_BLOCK_ID	This account has been blocked.
LOGIN_FAILURE_BLOCK_LOGIN	Please choose another server!
LOGIN_FAILURE_NOBILL	The account has no playing time.
LOGIN_FAILURE_NOT_AVAIL	The account is not available.
LOGIN_FAILURE_NOT_EXIST_ID	Account name or password incorrect.
LOGIN_FAILURE_REPAIR_ID	Items have been restored for this account.
LOGIN_FAILURE_SAMELOGIN	Somebody has connected to your account.
LOGIN_FAILURE_SHUTDOWN	The server is not open yet.
LOGIN_FAILURE_TOO_MANY_USER	You could not connect because too many players are online.
LOGIN_FAILURE_UNKNOWN	You could not register for unknown reasons.
LOGIN_FAILURE_WEB_BLOCK	You have been blocked at the website. Please check your EMails.
LOGIN_FAILURE_WRONG_PASSWORD	Account name or password incorrect.
LOGIN_FAILURE_WRONG_VERSION	Update client, wrong client version!
LOGIN_INPUT_ID	Enter the ID.
LOGIN_INPUT_PASSWORD	Enter the password.
LOGIN_PROCESSING	Logging in ...
MAINTENANCE_TEXT_INFO	|cFFf2e2bc|H|hTechnical maintenance in: |cFF80f076|H|h%s
MAINTENANCE_TEXT_LENGTH	|cFFc9ff00|H|hLength: |cFF80f076|H|h%s
MAINTENANCE_TEXT_REASON	Reason: %s
MAINTENANCE_TEXT_REASON_TECHNICAL	Reason: Technical maintenance
MAINTENANCE_TEXT_TIME_DAYS	 Days
MAINTENANCE_TEXT_TIME_HOURS	 Hours
MAINTENANCE_TEXT_TIME_MINUTES	 Minute(s)
MALL_CANNOT_INSERT	You cannot place the item.
MALL_PASSWORD_TITLE	Password
MAP_01	Map 1
MAP_02	Map 2
MAP_01_02	Map 1 & 2
MAP_A1	Yongan Area
MAP_A2	Valley of Seungryong
MAP_A3	Yayang Area
MAP_AG	Jungrang
MAP_B1	Joan Area
MAP_B2	Valley of Imji
MAP_B3	Bokjung Area
MAP_BAY	Nephrite Bay
MAP_BG	Waryong
MAP_C1	Pyungmoo Area
MAP_C2	Valley of Bangsan
MAP_C3	Bakra Area
MAP_CAPE	Cape Dragon Fire
MAP_CG	Imha
MAP_DAWN	Gautama Cliff
MAP_DESERT	Yongbi Desert
MAP_DEVILTOWER1	Demon Tower
MAP_DEVILTOWER2	Shadow Tower
MAP_DEVILCATACOMB	Devil's Catacomb
MAP_DUEL	Training Fight Arena
MAP_EMPIREWAR01	Castle Battle
MAP_EMPIREWAR02	Castle Battle
MAP_EMPIREWAR03	Castle Battle
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_NUSLUCK	Land of Giants
MAP_N_FLAME_01	Fireland
MAP_N_FLAME_DUNGEON_01	Purgatory of Hell
MAP_N_SNOW_DUNGEON_01	Nemere's Watchtower
MAP_OXEVENT	OX contest
MAP_SKELTOWER	Gumsan Tower
MAP_SNOW	Mount Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Spider Dungeon 1
MAP_SPIDERDUNGEON_02	Spider Dungeon 2
MAP_SPIDERDUNGEON_03	Spider Dungeon 3
MAP_SKIPIA_DUNGEON_01	Grotto of Exile
MAP_SKIPIA_DUNGEON_02	Grotto of Exile 2
