ACCE_ABSORB_CHANCE	Rata absorbției: %d%%
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
BIOLOG_MANAGER_REQUIRED_LEVEL	Misiunea actuală a biologului:
BIOLOG_MANAGER_REWARD	Recompensă
BIOLOG_MANAGER_TIME_TEXT	Poți să livrezi următorul obiect!
BIOLOG_MANAGER_TIME_WAIT	Așteaptă: 
BIOLOG_MANAGER_TITLE	Biolog
BONUS_BOARD_CATEGORY_1	Atac/Apărare
BONUS_BOARD_CATEGORY_2	Bonusuri elementare
BONUS_BOARD_CATEGORY_3	Bonusuri clase
BONUS_BOARD_CATEGORY_4	Bonusuri arme
BONUS_BOARD_CATEGORY_5	Alte bonusuri
CANNOT_ATTACK_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_ATTACK_SELF_IN_SAFE	Nu pot ataca.
CANNOT_EQUIP_IN_EXCHANGE	Nu poți schimba echipamentul când negociezi.
CANNOT_EQUIP_IN_SHOP	Nu poți schimba echipamentul când negociezi.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nu poți deschide magazinul într-un spațiu public.
CANNOT_SHOOT_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SHOOT_EMPTY_ARROW	Am nevoie de o săgeată.
CANNOT_SHOOT_SELF_IN_SAFE	Nu pot face asta.
CANNOT_SKILL_APPROACH	Sunt sigur că nu mă pot apropia mai mult de atât.
CANNOT_SKILL_ATTACK	Nu pot ataca.
CANNOT_SKILL_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Am nevoie de o undiță.
CANNOT_SKILL_HAVE_TO_RIDE	Am nevoie de un cal pentru a folosi asta.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticlă goală.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nu am nicio sticlă cu otravă.
CANNOT_SKILL_NEED_TARGET	Care este ținta?
CANNOT_SKILL_NOT_ENOUGH_HP	Nu am destule PV!
CANNOT_SKILL_NOT_ENOUGH_SP	Nu am destule PM!
CANNOT_SKILL_NOT_HORSE_SKILL	Nu pot folosi asta în timp ce călăresc.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Această abilitate nu o pot folosi la această armă.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Nu poți folosi această abilitate pe această montură.
CANNOT_SKILL_NOT_YET_LEARN	Nu am învățat această abilitate.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Are efect doar asupra membrilor grupului.
CANNOT_SKILL_ONLY_FOR_CORPSE	Are efect doar asupra morților.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nu pot folosi această abilitate cu o undiță.
CANNOT_SKILL_SELF_IN_SAFE	De aici nu pot ataca.
CANNOT_SKILL_USE_SELF	Nu pot folosi asta asupra mea.
CANNOT_SKILL_WAIT_COOLTIME	Nu pot folosi încă această abilitate.
CANNOT_USE	Nu poți folosi asta.
CANNOT_WHISPER_DEST_REFUSE	%s a blocat complet șoptitul.	SA
CANNOT_WHISPER_NOT_LOGON	%s nu e online.	SA
CANNOT_WHISPER_SELF_REFUSE	Nu poți șopti cuiva ceva dacă șoptitul e complet blocat. 	SNA
CHANGE_ALREADY_REGISTER	[Transformare] Acest obiect a fost deja trimis.
CHANGE_LOOK_CHANGE_ITEM	Vrei să transformi acest obiect?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transformare] Întai trebuie sa scoți obiectul dorit pentru transformare.
CHANGE_LOOK_COST	Costuri de transformare: %s Yang
CHANGE_LOOK_DEL_ITEM	Obiectul absorbit se va șterge.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transformare] Acest obiect nu poate fi transformat.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transformare] Nu poți transforma un obiect în timp ce este echipat.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transformare] Nu poți trimite acest obiect.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transformare] Acest obiect este personaliat.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transformare] Trimite obiectul ce dorești să îl transformi.
CHANGE_LOOK_INSERT_ITEM	[Transformare] Trebuie să trimiți obiectul mai întâi.
CHANGE_LOOK_NEED_MONEY	Obiecte sau Yang insuficiente.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transformare] Această acțiune nu este posibilă în timp ce fereastra de Transformare este deschisă.
CHANGE_LOOK_TITLE	Transformare
CHANGE_LOOK_TITLE2	Transformare Mount
CHANGE_TOOLTIP2_LINE1	Adaugă obiectul țintă în stânga și materialul în dreapta.
CHANGE_TOOLTIP2_LINE2	Apasă pe căsuță pentru a utiliza Yang sau un Token Transformare și modifică aspectul mountului.
CHANGE_TOOLTIP2_LINE3	Folosind un Token Transformare schimbi înfățișarea mountului fără să te coste Yang (se va consuma Tokenul).
CHANGE_TOOLTIP2_LINE4	Dacă schimbi aspectul unui mount cu durată de timp, durata va ramane neschimbată.
CHANGE_TOOLTIP2_LINE5	Dacă mountul este permanent, iar materialul are o durată, mountul va menține aspectul schimbat pe toată durata materialului.
CHANGE_TOOLTIP_LINE1	Pune în stânga obiectul ce dorești să îl transformi.
CHANGE_TOOLTIP_LINE2	Pune celălalt obiect în dreapta.
CHANGE_TOOLTIP_LINE3	Aspectul obiectului din stânga se va schimba.
CHANGE_TOOLTIP_LINE4	imediat ce confirmi transformarea (V) și plătești Yangul.
CHANGE_TOOLTIP_LINE5	Acest obiect permite
CHANGE_TOOLTIP_LINE6	să transformi un obiect fără a cheltui Yang.
CHANGE_TOOLTIP_TITLE	Transformare
CHANNEL	Canal
CHANNEL_EMPTY_SERVER	Niciun server
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	Acest canal este plin! Alege te rog altul.
CHANNEL_NOT_FIND_INFO	Nici o informație găsită via Canal.
CHANNEL_PVP	Duel liber
CHANNEL_SELECT_CHANNEL	Alege canalul
CHANNEL_SELECT_REGION	Selectează regiunea.
CHANNEL_SELECT_SERVER	Alege serverul
CHANNEL_STATUS_BUSY	Ocupat
CHANNEL_STATUS_FULL	Plin
CHANNEL_STATUS_OFFLINE	Necunoscut
CHANNEL_STATUS_RECOMMENDED	Recomandat
CHANNEL_STATUS_VACANT	Scăzut
CHANNEL_TEST_SERVER	Testează serverul
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHAT_ALL	Toți
CHAT_BLOCK	Blochează
CHAT_DICE_INFO	Aruncă
CHAT_GUILD	Breaslă
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Propoziția conține cuvinte nepermise.
CHAT_LOG	Arată mesaje vechi [L]
CHAT_LOG_TITLE	Log Chat
CHAT_NORMAL	Normal
CHAT_NOTICE	Anunț
CHAT_OPEN_LINK_DANGER	Atenție: Acest link poate conține un virus!
CHAT_OPEN_LINK	Dorești să deschizi acest link?
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Trimite mesaj
CHAT_SEND_MEMO	Trimite șoaptă [Shift+Enter]
CHAT_SHOUT	Strigă
CHAT_SHOUT_LIMIT	Poți striga doar o dată la 15 secunde.
CHAT_WHISPER	Șoaptă
CREATE_ERROR_GM_NAME	Nu poți folosi ,GM‘ la numele caracterului.
CREATE_ERROR_INSULT_NAME	Acest nume este invalid.
CREATE_ERROR_LIMIT_LEVEL	Caracterul trebuie sa aibă minim nivel 80.
CREATE_ERROR_TIME_LIMIT	Poți crea un caracter la fiecare 30 de secunde.
CREATE_ERROR_WRONG_STRING	Acest nume nu este permis.
CREATE_EXIST_SAME_NAME	Există deja un caracter cu acest nume.
CREATE_FAILURE	Nu poți crea acest caracter.
CREATE_FULL	Nu poți crea un caracter suplimentar.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introdu numele.
CREATE_PLUS_STAT	Mai sunt puncte de status accesibile.
CUBE_CATEGORY_ARMOR	Armuri
CUBE_CATEGORY_ETC	Accesorii
CUBE_CATEGORY_NINJA	Ninja
CUBE_CATEGORY_SHAMAN	Șaman
CUBE_CATEGORY_SURA	Sura
CUBE_CATEGORY_OTHERS	Altele
CUBE_CATEGORY_WARRIOR	Războinic
CUBE_CATEGORY_WEAPON	Arme
CUBE_COPY_ATTR_INFO	Pentru a transfera bonusurile, mută itemul în primul slot.
DAY	Zile
DEFENSAWE_HYDRA	Apărarea Navei
DESTROY_ITEM_QUESTION	Ești sigur că vrei să ștergi?
DO_YOU_BUY_ITEM1	Vrei să cumperi %s cu %s ?
DO_YOU_BUY_ITEM2	Vrei să cumperi %s x%s cu %s ?
DO_YOU_DROP_MONEY	Vrei să renunți la %d Yang?
DO_YOU_SELL_ITEM1	Vrei să vinzi %s cu %s ?
DO_YOU_SELL_ITEM2	Vrei să vinzi %s x%s cu %s ?
DROP_ITEM_FAILURE_EQUIP_ITEM	Nu poți arunca obiecte din echipament.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nu poți renunța la un obiect atribuit caracterului dacă magazinul privat este deschis.
DROP_MONEY_FAILURE_1000_OVER	Poți renunța la maxim 999 Yang.
DUNGEON_TIMER_FLOOR	Etaj %d
DUNGEON_TIMER_WAVE	Val %d
EMOJI_CHEST_VIEW	Arată drop - |Eemoji/key_rclick|e
EMOJI_QUICK_ADD	Adaugă rapid - |Eemoji/key_ctrl|e + |Eemoji/key_rclick|e
EMOJI_RENDER_TARGET_MOVE	Rotește - |Eemoji/key_rclick|e
EMOJI_RENDER_TARGET_WHEEL	Zoom - |Eemoji/key_lclick_wheel|e
EMOJI_SHOP_BUY	Cumpără - |Eemoji/key_rclick|e
EMOJI_SHOP_SELL	Vinde - |Eemoji/key_ctrl|e + |Eemoji/key_rclick|e
EMOTION_ANGRY	Neplăcut
EMOTION_ATTRACTIVE	Tentație
EMOTION_BANTER	Răutăcios
EMOTION_CHEERS_1	Bucurie 1
EMOTION_CHEERS_2	Bucurie 2
EMOTION_CHEERUP	A se bucura
EMOTION_CHOOSE_ONE	Alege o țintă.
EMOTION_CLAP	Aplauze
EMOTION_CLAP_KISS	Sărut
EMOTION_CONGRATULATION	Acord
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Dans 6
EMOTION_DANCE_7	Dans 7
EMOTION_SELFIE	Selfie
EMOTION_PUSHUP	Flotări
EMOTION_EXERCISE	Încălzire
EMOTION_DOZE	Supărat
EMOTION_FORGIVE	Iertare
EMOTION_FRENCH_KISS	Sărut Franțuzesc
EMOTION_JOY	Bucurie
EMOTION_SAD	Trist
EMOTION_SHY	Refuz
EMOTION_SLAP	Lovitură
EMOTION_EMOTION_1	Worship
EMOTION_EMOTION_2	Backflip
EMOTION_EMOTION_3	BreakDance
EMOTION_EMOTION_4	Dans 8
EMOTION_EMOTION_5	Dab
EMOTION_EMOTION_6	Facepalm
EMOTION_EMOTION_7	Fuck off
EMOTION_EMOTION_8	Wank/fingering
EMOTION_EMOTION_9	Shake it
EMOTION_EMOTION_10	Throw the money
EMOTION_EMOTION_11	Street Dance
EMOTION_EMOTION_12	Twerk
EMPIRE_A	Regatul Shinsoo
EMPIRE_B	Regatul Chunjo
EMPIRE_C	Regatul Jinno
EVENT_MANAGER_DURATION	Start: %s ~ Stop: %s
EVENT_MANAGER_DROP_TYPE	Drop: %s
EVENT_MANAGER_DROP_TYPE_NONE	Fără
EVENT_MANAGER_DROP_TYPE_GENERAL	Toți monștrii
EVENT_MANAGER_DROP_TYPE_BOSS_AND_MORE	Pietre Metin & Șefi
EVENT_MANAGER_DROP_TYPE_BOSS	Șefi
EVENT_MANAGER_DROP_TYPE_STONE	Pietre Metin
EXCHANGE_ALERT	Ești sigur că vrei să oferi iteme fără nimic în schimb?
EXCHANGE_CANNOT_GIVE	Nu poți vinde acest obiect.
EXCHANGE_CANT_EDIT_MONEY	Acum nu mai poți modifica suma.
EXCHANGE_FAILURE_EQUIP_ITEM	Nu poți schimba iteme atribuite caracterului.
EXCHANGE_MONEY	Suma
EXCHANGE_OWNER_ACCEPT	%s Ai acceptat negoțul.
EXCHANGE_OWNER_ADD	%s Ai adăugat [%s]
EXCHANGE_OWNER_ADD_ATT	%s Ai adăugat |cffffc700|H|h[%s]|h|r
EXCHANGE_OWNER_ADD_COUNT	%s Ai adăugat %sx [%s]
EXCHANGE_OWNER_ADD_COUNT_ATT	%s Ai adăugat %sx |cffffc700|H|h[%s]|h|r
EXCHANGE_OWNER_YANG	%s Ai crescut suma de Yang la |cffb8ff00|H|h%s|h|r
EXCHANGE_START	%s Negoțul a început.
EXCHANGE_TARGET_ADD	%s %s a adăugat [%s]
EXCHANGE_TARGET_ADD_ATT	%s %s a adăugat |cffffc700|H|h[%s]|h|r
EXCHANGE_TARGET_ADD_COUNT	%s %s a adăugat %sx [%s]
EXCHANGE_TARGET_ADD_COUNT_ATT	%s %s a adăugat %sx |cffffc700|H|h[%s]|h|r
EXCHANGE_TARGET_ACCEPT	%s %s a acceptat negoțul.
EXCHANGE_TARGET_YANG	%s %s a crescut suma de Yang la |cffb8ff00|H|h%s|h|r
EXCHANGE_TITLE	Negociază cu %s
EXCHANGE_TITLE_LEVEL	Negociază cu %s (%d)
EXTENDED_BATTLE_PASS_ITS_NOT_BATTLEPASS_ITEM	Ai nevoie de un ticket pentru Battle-Pass premium.
EXTENDED_BATTLE_PASS_RANKLIST_REFRESH	Clasamentul a fost actualizat.
EXTENDED_BATTLE_PASS_RANKLIST_WAIT_TO_REFRESH	Trebuie să aștepți %d secunde pentru a actualiza clasamentul.
FISHGAME_TITLE	Pește
FISHING_FAILURE	Ai pierdut momeala pentru pescuit.
FISHING_NOTIFY1	Se pare că %s a mușcat.
FISHING_NOTIFY2	Se pare că s-a prins %s.
FISHING_SUCCESS1	Ai prins %s.
FISHING_SUCCESS2	Ai scos %s din apă!
FISHING_UNKNOWN	Ceva a mușcat dar nu știu ce anume.
FISHING_WRONG_PLACE	Nu pot să pescuiesc aici.
FOR_FEMALE	Pentru femei
FOR_MALE	Pentru bărbați
GAME_CANNOT_MINING	Nu poți să sapi după minereu în timp ce călărești.
GAME_CANNOT_PICK_ITEM	Nu poți culege acest obiect, pentru că nu a fost capturat de tine.
GAME_INIT_ERROR_CURSOR	Cursorul nu a putut fi creat.
GAME_INIT_ERROR_DIRECTX	Ai nevoie de DirectX 8.1 pentru a rula jocul.\nInstalează DirectX 8.1 sau o versiune mai mare.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nu s-a gasit placa grafică pentru rularea jocului.\nVerifică daca placa VGA e instalată corect.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Placa grafică nu a putut fi inițializată.nVerifică dacă deții o placă VGA.\nAlternativ poți să activezi accelerarea hardware.\n(Accelerare hardware la maxim \nControl Panel->Display->Settings->Advanced->Troubleshooting)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Placa grafică nu suportă 32bit.\nSchimbă pe 16bit sau folosește full screen.
GAME_INIT_ERROR_ITEM_PROTO	Datele obiectului inaccesibile.\nReinstalează jocul.
GAME_INIT_ERROR_MAIN_WINDOW	Fereastra principală nu a putut fi realizată.
GAME_INIT_ERROR_MOB_PROTO	Datele monstrului inaccesibile.\nReinstalează jocul.
GAME_INIT_ERROR_NETWORK	Legătura la rețea nu s-a realizat.\nVerifică legătura la internet.
GAME_PICK_MONEY	Ai primit %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Înălțimea nu are 128 pixel.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Înălțimea nu are 12 pixel.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Înălțimea nu are 16 pixel.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Înălțimea nu are 64 pixel.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Jocul nu suportă această imagine.
GUILDMARK_UPLOADER_ERROR_PATH	Copiază fișierele în directorul Metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nicio imagine selectată.
GUILDWAR_CTF_TITLE	Cucerește steagul
GUILDWAR_NORMAL_TITLE	Bătălie pe câmp
GUILDWAR_QUESTION_LINE_1	Breasla %s a declarat breslei tale război,
GUILDWAR_QUESTION_LINE_2	Accepți? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Luptă în Arenă
GUILD_BUILDING_GRADE	Grad
GUILD_BUILDING_NAME	Numele clădirii
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energia Spiritul Dragonului este deja plină.
GUILD_COMMENT	Scrie
GUILD_DEFAULT_GRADE	Membrii breslei
GUILD_DELETE	Șterge
GUILD_DEPOSIT	Pune deoparte
GUILD_DO_YOU_HEAL_GSP	Vrei să refaci %d unități din Spiritul Dragonului pentru %d Yang?
GUILD_DO_YOU_JOIN	  te-a invitat. Vrei să te alături alianței?
GUILD_EMPTY_AREA	Țară goală
GUILD_ENEMY_GUILD_NAME	Numele breslei inamicului
GUILD_FACILITY	Clădire secundară
GUILD_GEM	Piatră prețioasă
GUILD_HEADQUARTER	Clădire principală
GUILD_HEAL_GSP	Reface Spiritul Dragonului
GUILD_INFO_ENEMY_GUILD_EMPTY	Niciuna
GUILD_MARK_NOT_ENOUGH_LEVEL	Cerință: Minim nivelul 3
GUILD_NAME	Nume breaslă
GUILD_NOT_ENOUGH_MATERIAL	Nu deții destul material pentru această clădire.
GUILD_NOT_ENOUGH_MONEY	Nu deții destul Yang pentru această clădire.
GUILD_NO_NOTICE_PERMISSION	Nu îți este permis să faci un anunț.
GUILD_OBJECT	Obiecte
GUILD_OFFER_EXP	Investește experiență
GUILD_SHORT_EXP	Nu ai destule puncte de experiență.
GUILD_TILE_BASEINFO	Informații de bază
GUILD_TILE_BOARD	Tablă
GUILD_TILE_GRADE	Drepturi de administrare
GUILD_TILE_INFO	Informații breaslă
GUILD_TILE_MEMBER	Membrii breslei
GUILD_TILE_SKILL	Calificarea breslei
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR_LIMIT_30MIN	Timp: 30 de minute
GUILD_WAR_REWARD_POTION	Recompensă: Câștigătorul primește licori
GUILD_WAR_USE_BATTLE_MAP	Locație: Câmpul de luptă al Breslei
GUILD_WAR_USE_NORMAL_MAP	Locație: Harta Normală
GUILD_WAR_WIN_CHECK_SCORE	Cel mai bun rezultat câștigă războiul.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Capturează steagul inamicului
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	și adu-l în baza ta.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Înfrânge toți inamicii pentru a câștiga.
GUILD_WITHDRAW	Retragere
GUILD_YOU_DO_NOT_JOIN	Nu aparții nici unei bresle.
HORSE_HEALTH0	Mort
HORSE_HEALTH1	Foame
HORSE_HEALTH2	Înfometat
HORSE_HEALTH3	Plin
HORSE_LEVEL1	Cal normal
HORSE_LEVEL2	Cal de luptă
HORSE_LEVEL3	Cal militar
HOUR	Ore
HOW_MANY_ITEM_DO_YOU_DROP1	Vrei să arunci %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Vrei să arunci %s %d?
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introducere cod de ștergere din administrare cont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Șterge caracterul
INVENTORY_REALLY_USE_ITEM	Vrei să folosești acest obiect?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Dorești să pui însoțitorul în Cutia de Transport?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Dorești să deschizi Cutia de Transport?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Dorești să hrănești cu %s pe %s?
ITEMSHOP_BUY_TEXT	Vrei să cumperi |cffF7BD48%s|r ?
ITEMSHOP_BUY_TEXT_COUNT	Vrei să cumperi |cffF7BD48%s x%d|r ?
ITEMSHOP_CATEGORY_0_NAME	Oferte
ITEMSHOP_CATEGORY_0_SUB_0_NAME	Pachete
ITEMSHOP_CATEGORY_0_SUB_1_NAME	Oferte speciale
ITEMSHOP_CATEGORY_1_NAME	Obiecte speciale
ITEMSHOP_CATEGORY_2_NAME	Cosmetice
ITEMSHOP_CATEGORY_2_SUB_0_NAME	Costume Armă
ITEMSHOP_CATEGORY_2_SUB_1_NAME	Costume Armură
ITEMSHOP_CATEGORY_2_SUB_2_NAME	Frizuri
ITEMSHOP_CATEGORY_2_SUB_3_NAME	Costume Animăluț
ITEMSHOP_CATEGORY_2_SUB_4_NAME	Costume Mount
ITEMSHOP_CATEGORY_3_NAME	Companioni
ITEMSHOP_CATEGORY_3_SUB_0_NAME	Mounți
ITEMSHOP_CATEGORY_3_SUB_1_NAME	Animăluțe
ITEMSHOP_CATEGORY_3_SUB_2_NAME	Însoțitori
ITEMSHOP_CATEGORY_4_NAME	Temnițe
ITEMSHOP_CATEGORY_5_NAME	Echipament
ITEMSHOP_DRAGONCOINT	Monede Dragon
ITEMSHOP_EXPIRED	Expirat
ITEMSHOP_ITEMSEARCH_DEFAULT_TEXT	Caută ...
ITEMSHOP_LAST_COUNT	Rămas: %d
ITEMSHOP_MENU_TITLE_HOME	Acasă
ITEMSHOP_MENU_TITLE_HOTITEMS	|Eishop/hot|e Popular
ITEMSHOP_MENU_TITLE_OFFERS	|Eishop/offer|e Oferte
ITEMSHOP_MENU_TITLE_WHEEL	|Eishop/wheel_icon|e Ruletă
ITEMSHOP_PRICE_NEW	|Eishop/mini_coin|e %s MD
ITEMSHOP_PRICE_ONLY_TEXT	%s MD
ITEMSHOP_PRICE_WITH_DISCOUNT	|Eishop/mini_coin|e |cffFF7B7B%s MD (%d%%)
ITEMSHOP_PURCHASES	Istoric
ITEMSHOP_PURCHASES_ACCOUNTID	Cont
ITEMSHOP_PURCHASES_DATE	Dată
ITEMSHOP_PURCHASES_IP	IP
ITEMSHOP_PURCHASES_ITEMBOUGHT	Obiect cumpărat
ITEMSHOP_PURCHASES_PRICE	Preț
ITEMSHOP_PURCHASES_PRICE_TEXT	|Eishop/mini_coin|e |cfff7bd48%s MD
ITEMSHOP_WHEEL_COIN_TEXT	|Eishop/coin|e  Preț: 10 MD
ITEMSHOP_WHEEL_COIN_TEXT_INFO	Folosești |cffF7BD48Monede|r pentru ruletă.
ITEMSHOP_WHEEL_PURCHASE	|Eishop/wheel_icon|e  |cffF7BD48Ruleta norocului|r
ITEMSHOP_WHEEL_REWARD_TEXT	Ai primit de la ruletă
ITEMSHOP_WHEEL_REWARD_TITLE	Premium
ITEMSHOP_WHEEL_SKIP_ANIMATION	Fără animație
ITEMSHOP_WHEEL_TICKET_TEXT	|Eishop/wheel_ticket|e x1 Bilet ruletă
ITEMSHOP_WHEEL_TICKET_TEXT_INFO	Folosești |cffF7BD48Bilet ruletă|r pentru ruletă.
ITEMSHOP_WINDOW_TITLE	Magazin obiecte
JOB_ASSASSIN	Ninja
JOB_SHAMAN	Șaman
JOB_SURA	Sura
JOB_WARRIOR	Războinic
LEFT_TIME	Timp rămas
LOGIN_CLIENT_LOADING	Se încarcă clientul din cache ...
LOGIN_CONNECT_FAILURE	Eroare la conectarea la server.
LOGIN_CONNECT_SUCCESS	Ai fost conectat la server.
LOGIN_CONNETING	Vei fi conectat la server ...
LOGIN_FAILURE_ALREAY	Contul tău este deja conectat.
LOGIN_FAILURE_BE_SAME_KEY	Problemă la login
LOGIN_FAILURE_BLOCK_ID	Contul este blocat.
LOGIN_FAILURE_BLOCK_LOGIN	Alege alt server!
LOGIN_FAILURE_NOBILL	Contul nu deține timp de joc.
LOGIN_FAILURE_NOT_AVAIL	Contul este inaccesibil.
LOGIN_FAILURE_NOT_EXIST_ID	Nume contului sau parola sunt greșite.
LOGIN_FAILURE_REPAIR_ID	Pentru acest cont sunt refăcute obiectele.
LOGIN_FAILURE_SAMELOGIN	Cineva s-a conectat la contul tău.
LOGIN_FAILURE_SHUTDOWN	Serverul nu este încă deschis.
LOGIN_FAILURE_TOO_MANY_USER	Conectarea nu s-a realizat pentru ca există prea mulți jucători.
LOGIN_FAILURE_UNKNOWN	Login a eșuat din motive necunoscute.
LOGIN_FAILURE_WEB_BLOCK	Ai fost blocat pe website. Verifică-ți mailurile.
LOGIN_FAILURE_WRONG_PASSWORD	Nume sau parola greșită.
LOGIN_FAILURE_WRONG_VERSION	Actualizează clientul, versiune client greșită!
LOGIN_INPUT_ID	Introdu ID-ul.
LOGIN_INPUT_PASSWORD	Introdu parola.
LOGIN_PROCESSING	Conectarea rulează ...
